ParkName,Rank,Value,PercentOfTotal
Petersburg NB,194,"191,898",0.06%
Allegheny Portage Railroad NHS,195,"189,371",0.06%
Kaloko Honokohau NHP,196,"185,041",0.06%
Apostle Islands NL,197,"183,796",0.06%
Wilson's Creek NB,198,"183,698",0.06%
Guadalupe Mountains NP,199,"181,839",0.05%
Paterson Great Falls NHP,200,"177,498",0.05%
Theodore Roosevelt Island,201,"164,360",0.05%
Fort Smith NHS,202,"163,636",0.05%
Ocmulgee NM,203,"162,260",0.05%
El Malpais NM,204,"157,440",0.05%
Johnstown Flood NMEM,205,"154,931",0.05%
Walnut Canyon NM,206,"152,444",0.05%
Herbert Hoover NHS,207,"152,382",0.05%
Missouri NRR,208,"148,210",0.04%
Chamizal NMEM,209,"147,937",0.04%
New Bedford Whaling NHP,210,"145,500",0.04%
Great Basin NP,211,"144,846",0.04%
Congaree NP,212,"143,843",0.04%
Perry's Victory & Intl. Peace MEM,213,"142,152",0.04%
Lyndon B. Johnson NHP,214,"140,303",0.04%
Pu'ukohola Heiau NHS,215,"138,565",0.04%
Greenbelt Park,216,"137,900",0.04%
Jewel Cave NM,217,"137,275",0.04%
Coronado NMEM,218,"136,075",0.04%
Devils Postpile NM,219,"135,404",0.04%
Andersonville NHS,220,"134,216",0.04%
Minuteman Missile NHS,221,"133,895",0.04%
Scotts Bluff NM,222,"130,085",0.04%
George Washington Birthplace NM,223,"129,750",0.04%
Little Rock Central High School NHS,224,"129,540",0.04%
Lava Beds NM,225,"127,699",0.04%
George Rogers Clark NHP,226,"126,095",0.04%
Lincoln Boyhood NMEM,227,"125,562",0.04%
Petroglyph NM,228,"124,177",0.04%
Piscataway Park,229,"123,381",0.04%
Pea Ridge NMP,230,"119,490",0.04%
Ninety Six NHS,231,"118,002",0.04%
Gauley River NRA,232,"115,888",0.04%
Christiansted NHS,233,"115,446",0.03%
General Grant NMEM,234,"109,151",0.03%
City of Rocks NRES,235,"107,865",0.03%
Manzanar NHS,236,"105,307",0.03%
Manhattan Project NHP,237,"104,715",0.03%
Tuzigoot NM,238,"104,604",0.03%
Saratoga NHP,239,"102,808",0.03%
Natural Bridges NM,240,"101,843",0.03%
Steamtown NHS,241,"99,660",0.03%
Grand Portage NM,242,"95,862",0.03%
