ParkName	Rank	Value	PercentOfTotal
Cumberland Island NS	271	61896	0.02
Fort Davis NHS	272	61823	0.02
Sunset Crater Volcano NM	273	60233	0.02
Capulin Volcano NM	274	60132	0.02
Golden Spike NHS	275	60027	0.02
El Morro NM	276	59422	0.02
Palo Alto Battlefield NHP	277	58556	0.02
Hopewell Culture NHP	278	58058	0.02
Thomas Edison NHP	279	57694	0.02
Aztec Ruins NM	280	57692	0.02
Fort Laramie NHS	281	57444	0.02
Marsh-Billings-Rockefeller NHP	282	55716	0.02
Eisenhower NHS	283	55550	0.02
Hopewell Furnace NHS	284	54167	0.02
Chaco Culture NHP	285	54084	0.02
Sagamore Hill NHS	286	53920	0.02
Charles Pinckney NHS	287	53184	0.02
Women's Rights NHP	288	52683	0.02
Chiricahua NM	289	51277	0.02
Whitman Mission NHS	290	50148	0.02
Longfellow NHS	291	49697	0.02
John Muir NHS	292	49376	0.01
Pipe Spring NM	293	46710	0.01
African Burial Ground NM	294	46526	0.01
George Washington Carver NM	295	46397	0.01
Ulysses S. Grant NHS	296	46071	0.01
Andrew Johnson NHS	297	45937	0.01
Lake Chelan NRA	298	45514	0.01
James A. Garfield NHS	299	45437	0.01
Tumacacori NHP	300	43829	0.01
Hovenweep NM	301	42862	0.01
Saint-Gaudens NHS	302	42377	0.01
Big Hole NB	303	41795	0.01
Gila Cliff Dwellings NM	304	41519	0.01
Pecos NHP	305	39715	0.01
Weir Farm NHS	306	39079	0.01
Buck Island Reef NM	307	38929	0.01
Tonto NM	308	38048	0.01
Friendship Hill NHS	309	37847	0.01
Katmai NP & PRES	310	37818	0.01
New Orleans Jazz NHP	311	35514	0.01
Hampton NHS	312	34942	0.01
Harry S Truman NHS	313	34616	0.01
Arkansas Post NMEM	314	34405	0.01
Bluestone NSR	315	34139	0.01
Salinas Pueblo Missions NM	316	32414	0.01
Bent's Old Fort NHS	317	31948	0.01
Tuskegee Airmen NHS	318	31133	0.01
Fort Larned NHS	319	31060	0.01
William Howard Taft NHS	320	30723	0.01
Tallgrass Prairie NPRES	321	29378	0.01
Fort Scott NHS	322	29291	0.01
Theodore Roosevelt Inaugural NHS	323	29199	0.01
National Park of American Samoa	324	28892	0.01
North Cascades NP	325	28646	0.01
Brown v. Board of Education NHS	326	27968	0.01
Cane River Creole NHP	327	26863	0.01
Hagerman Fossil Beds NM	328	25982	0.01
John F. Kennedy NHS	329	25467	0.01
Isle Royale NP	330	24966	0.01
Russell Cave NM	331	24649	0.01
Booker T. Washington NM	332	23440	0.01
Grant-Kohrs Ranch NHS	333	23176	0.01
Springfield Armory NHS	334	22434	0.01
Martin Van Buren NHS	335	22100	0.01
Lake Clark NP & PRES	336	21102	0.01
Saint Paul's Church NHS	337	20830	0.01
Fossil Butte NM	338	20737	0.01
Fort Union Trading Post NHS	339	17502	0.01
Cesar E. Chavez NM	340	17216	0.01
Noatak NPRES	341	17000	0.01
Salt River Bay NHP & Ecological Pres	342	16449	0.00
Agate Fossil Beds NM	343	15555	0.00
Kobuk Valley NP	344	15500	0.00
Cape Krusenstern NM	345	15000	0.00
Edgar Allan Poe NHS	346	14827	0.00
Keweenaw NHP	347	14612	0.00
Saint Croix Island International Historic Site	348	13857	0.00
First Ladies NHS	349	13378	0.00
Knife River Indian Villages NHS	350	13328	0.00
Washita Battlefield NHS	351	12312	0.00
Fort Union NM	352	11953	0.00
Saugus Iron Works NHS	353	11159	0.00
Thomas Stone NHS	354	10652	0.00
President W.J. Clinton Birthplace Home NHS	355	10468	0.00
Charles Young Buffalo Soldiers NM	356	10211	0.00
Gates of the Arctic NP & PRES	357	10047	0.00
Maggie L. Walker NHS	358	9589	0.00
Frederick Law Olmsted NHS	359	8935	0.00
Tuskegee Institute NHS	360	8452	0.00
Alibates Flint Quarries NM	361	8153	0.00
Fort Bowie NHS	362	8013	0.00
Mary McLeod Bethune Council House NHS	363	7149	0.00
Sand Creek Massacre NHS	364	6847	0.00
Theodore Roosevelt Birthplace NHS	365	6582	0.00
Eugene O'Neill NHS	366	4287	0.00
Nicodemus NHS	367	3552	0.00
Thaddeus Kosciuszko NMEM	368	2794	0.00
Belmont-Paul Women's Equality NM	369	2704	0.00
Bering Land Bridge NPRES	370	2642	0.00
Port Chicago Naval Magazine NM	371	1942	0.00
Yukon-Charley Rivers NPRES	372	1146	0.00
Rio Grande W&SR	373	463	0.00
Aniakchak NM & PRES	374	100	0.00
